ID,Origin,core_label,Subcel1,Localization,Type
Zm00001eb400380,WGD,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb335290,unknown,Dispensable Gene,chlo,Nucleus,Soluble
Zm00001eb282930,unknown,Core Gene,chlo,Plastid,Membrane
Zm00001eb288870,unknown,Core Gene,chlo,Plastid,Membrane
Zm00001eb291950,unknown,Core Gene,chlo,Plastid,Membrane
Zm00001eb289410,unknown,Dispensable Gene,chlo,Extracellular,Soluble
Zm00001eb197520,unknown,Core Gene,chlo,Mitochondrion,Membrane
Zm00001eb170160,unknown,Dispensable Gene,chlo,Cell membrane,Membrane
Zm00001eb103480,WGD,Core Gene,chlo,Plastid,Soluble
Zm00001eb108720,unknown,Core Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb060740,unknown,Dispensable Gene,chlo,Plastid,Membrane
Zm00001eb039890,unknown,Core Gene,chlo,Nucleus,Soluble
Zm00001eb293220,WGD,Core Gene,chlo,Extracellular,Soluble
Zm00001eb177830,unknown,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb417550,unknown,Core Gene,cyto,Endoplasmic reticulum,Membrane
Zm00001eb015030,unknown,Core Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb326950,unknown,Core Gene,chlo,Endoplasmic reticulum,Membrane
Zm00001eb231910,Tandem,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb075530,unknown,Core Gene,cyto,Lysosome/Vacuole,Membrane
Zm00001eb325270,WGD,Core Gene,chlo,Cytoplasm,Soluble
Zm00001eb012220,unknown,Core Gene,chlo,Nucleus,Soluble
Zm00001eb398510,WGD,Core Gene,cyto,Cell membrane,Membrane
Zm00001eb284220,unknown,Dispensable Gene,cyto,Cytoplasm,Soluble
Zm00001eb215130,WGD,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb210720,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb200220,unknown,Core Gene,cyto,Nucleus,Soluble
Zm00001eb100920,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb415010,unknown,Near-Core Gene,mito,Nucleus,Membrane
Zm00001eb418610,unknown,Core Gene,cyto,Cytoplasm,Soluble
Zm00001eb030070,unknown,Dispensable Gene,mito,Mitochondrion,Membrane
Zm00001eb400890,WGD,Core Gene,chlo,Cell membrane,Membrane
Zm00001eb361650,unknown,Core Gene,cyto,Mitochondrion,Soluble
